meme type,url,meme
quote,/memes/jugheads-im-weird-speech,jugheads im weird speech
quote,/memes/mission-report-december-16th-1991,mission report december 16th 1991
quote,/memes/they-ask-you-how-you-are-and-you-say-that-youre-fine,they ask you how you are and you say that youre fine
quote,/memes/witness-me,witness me
quote,/memes/justice-rains-from-above,justice rains from above
quote,/memes/gratata,gratata
quote,/memes/i-came-out-to-have-a-good-time-and-im-honestly-feeling-so-attacked-right-now,i came out to have a good time and im honestly feeling so attacked right now
quote,/memes/graphic-design-is-my-passion,graphic design is my passion
quote,/memes/dont-talk-to-me-or-my-son-ever-again,dont talk to me or my son ever again
quote,/memes/when-gotham-is-ashes-you-have-my-permission-to-die,when gotham is ashes you have my permission to die
quote,/memes/fuck-me-right,fuck me right
quote,/memes/i-too-like-to-live-dangerously,i too like to live dangerously
quote,/memes/you-know-nothing-jon-snow,you know nothing jon snow
quote,/memes/everyone-loses-their-minds,everyone loses their minds
quote,/memes/bold-move-cotton,bold move cotton
quote,/memes/dr-evil-air-quotes,dr evil air quotes
quote,/memes/it-was-me-dio,it was me dio
quote,/memes/you-keep-using-that-word-i-do-not-think-it-means-what-you-think-it-means,you keep using that word i do not think it means what you think it means
quote,/memes/baneposting,baneposting
quote,/memes/anythings-a-dildo-if-youre-brave-enough,anythings a dildo if youre brave enough
quote,/memes/portal-2-space-personality-core,portal 2 space personality core
quote,/memes/true-story,true story
quote,/memes/subcultures/cyberbully,subcultures/cyberbully
quote,/memes/futurama-zoidberg-why-not-zoidberg,futurama zoidberg why not zoidberg
quote,/memes/i-took-an-arrow-in-the-knee,i took an arrow in the knee
quote,/memes/they-don-t-think-it-be-like-it-is-but-it-do,they don t think it be like it is but it do
quote,/memes/carl,carl
quote,/memes/assuming-control,assuming control
quote,/memes/press-x-to-jason,press x to jason
quote,/memes/release-the-kraken,release the kraken
quote,/memes/dun-dun,dun dun
quote,/memes/subcultures/inception,subcultures/inception
quote,/memes/shut-up-and-take-my-money,shut up and take my money
quote,/memes/i-have-the-weirdest-boner,i have the weirdest boner
quote,/memes/give-her-the-dick,give her the dick
quote,/memes/what-is-this-a-center-for-ants,what is this a center for ants
quote,/memes/ramirez-do-everything,ramirez do everything
quote,/memes/are-you-not-entertained,are you not entertained
quote,/memes/james-doakes-surprise-motherfucker,james doakes surprise motherfucker
quote,/memes/how-can-she-slap,how can she slap
quote,/memes/you-either-die-a-hero-or-you-live-long-enough-to-see-yourself-become-the-villain,you either die a hero or you live long enough to see yourself become the villain
quote,/memes/mega-milk-titty-monster,mega milk titty monster
quote,/memes/jesus-man,jesus man
quote,/memes/shut-down-everything,shut down everything
quote,/memes/i-drink-your-milkshake,i drink your milkshake
quote,/memes/a-challenger-appears,a challenger appears
quote,/memes/oh-man-oh-god,oh man oh god
quote,/memes/you-were-the-chosen-one,you were the chosen one
quote,/memes/the-cake-is-a-lie,the cake is a lie
quote,/memes/shut-up-grandma-drink-your-prune-juice,shut up grandma drink your prune juice
quote,/memes/you-must-construct-additional-pylons,you must construct additional pylons
quote,/memes/theyre-eating-her,theyre eating her
quote,/memes/why-you-heff-to-be-mad,why you heff to be mad
quote,/memes/this-is-sparta,this is sparta
quote,/memes/garbage-day,garbage day
quote,/memes/bitches-love-smiley-faces,bitches love smiley faces
quote,/memes/howd-it-get-burned,howd it get burned
quote,/memes/oh-im-sorry-i-thought-this-was-america,oh im sorry i thought this was america
quote,/memes/its-a-fake,its a fake
quote,/memes/subcultures/snakes-on-a-plane,subcultures/snakes on a plane
quote,/memes/you-are-not-the-father,you are not the father
quote,/memes/darth-vaders-noooooooooooo,darth vaders noooooooooooo
quote,/memes/a-winner-is-you,a winner is you
quote,/memes/are-you-a-bad-enough-dude,are you a bad enough dude
quote,/memes/some-days-you-just-cant-get-rid-of-a-bomb,some days you just cant get rid of a bomb
quote,/memes/follow-the-damn-train-cj,follow the damn train cj
quote,/memes/its-dangerous-to-go-alone-take-this,its dangerous to go alone take this
quote,/memes/i-believe-you-have-my-stapler,i believe you have my stapler
quote,/memes/yaranaika-やらないか,yaranaika やらないか
quote,/memes/i-don-t-know-what-i-expected,i don t know what i expected
quote,/memes/subcultures/the-room,subcultures/the room
quote,/memes/shit-just-got-real,shit just got real
quote,/memes/nigga-stole-my-bike,nigga stole my bike
quote,/memes/its-a-trap,its a trap
quote,/memes/one-does-not-simply-walk-into-mordor,one does not simply walk into mordor
quote,/memes/there-is-no-dana-only-zuul,there is no dana only zuul
quote,/memes/and-welcome-to-jackass,and welcome to jackass
quote,/memes/im-going-to-build-my-own-theme-park-with-blackjack-and-hookers,im going to build my own theme park with blackjack and hookers
quote,/memes/all-your-base-are-belong-to-us,all your base are belong to us
quote,/memes/we-cant-stop-here-this-is-bat-country,we cant stop here this is bat country
engrish,/memes/henlo,henlo
engrish,/memes/hewwo,hewwo
engrish,/memes/born-to-die-world-is-a-fuck-kill-em-all-1989-i-am-trash-man-410757864530-dead-cops,born to die world is a fuck kill em all 1989 i am trash man 410757864530 dead cops
engrish,/memes/does-bruno-mars-is-gay,does bruno mars is gay
engrish,/memes/john-is-kill,john is kill
engrish,/memes/pls-rember-that-wen-u-feel-scare-wen-day-is-dark-alway-rember-happy-day,pls rember that wen u feel scare wen day is dark alway rember happy day
engrish,/memes/impossibru,impossibru
engrish,/memes/girugamesh,girugamesh
engrish,/memes/then-who-was-phone,then who was phone
engrish,/memes/series-of-tubes,series of tubes
engrish,/memes/how-is-babby-formed,how is babby formed
engrish,/memes/do-want-do-not-want,do want do not want
engrish,/memes/speedycat,speedycat
engrish,/memes/a-master-is-out,a master is out
engrish,/memes/om-nom-nom-nom,om nom nom nom
engrish,/memes/how-do-i-shot-web,how do i shot web
engrish,/memes/i-kiss-you,i kiss you
engrish,/memes/engrish,engrish
engrish,/memes/i-am-error,i am error
rage-comics,/memes/differenze-linguistiche,differenze linguistiche
rage-comics,/memes/he-will-never-have-a-girlfriend,he will never have a girlfriend
rage-comics,/memes/not-bad-obama-face,not bad obama face
rage-comics,/memes/oh-god-why,oh god why
rage-comics,/memes/im-watching-you,im watching you
rage-comics,/memes/what-year-is-it,what year is it
rage-comics,/memes/youwhat-have-you-done,youwhat have you done
rage-comics,/memes/are-you-fucking-kidding-me,are you fucking kidding me
rage-comics,/memes/poker-face,poker face
rage-comics,/memes/oh-crap-omg-rage-face,oh crap omg rage face
rage-comics,/memes/sites/cuanto-cabron,sites/cuanto cabron
rage-comics,/memes/amazed-face,amazed face
rage-comics,/memes/derpina,derpina
rage-comics,/memes/sweet-jesus-face,sweet jesus face
rage-comics,/memes/trollface,trollface
rage-comics,/memes/sites/ms-paint,sites/ms paint
reaction,/memes/nobody,nobody
reaction,/memes/blinking-white-guy,blinking white guy
reaction,/memes/its-so-fucking-big,its so fucking big
reaction,/memes/oh-no-baby-what-is-you-doin,oh no baby what is you doin
reaction,/memes/oh-fuck-put-it-back-in,oh fuck put it back in
reaction,/memes/hey-there-demons,hey there demons
reaction,/memes/jazz-music-stops,jazz music stops
reaction,/memes/this-is-fine,this is fine
reaction,/memes/pacha-edits-when-the-sun-hits-that-ridge-just-right,pacha edits when the sun hits that ridge just right
reaction,/memes/confused-mr-krabs-when-you-wake-up-from-a-nap,confused mr krabs when you wake up from a nap
reaction,/memes/sad-affleck,sad affleck
reaction,/memes/trigglypuff,trigglypuff
reaction,/memes/i-have-crippling-depression,i have crippling depression
reaction,/memes/conceited-reaction,conceited reaction
reaction,/memes/roll-safe,roll safe
reaction,/memes/spanish-laughing-guy-el-risitas-interview-parodies,spanish laughing guy el risitas interview parodies
reaction,/memes/kocoum-reaction-gifs,kocoum reaction gifs
reaction,/memes/magikarp-guy,magikarp guy
reaction,/memes/when-your-parents-ask-where-all-your-money-went,when your parents ask where all your money went
reaction,/memes/its-time-to-stop,its time to stop
reaction,/memes/congratulations-you-played-yourself,congratulations you played yourself
reaction,/memes/drakeposting,drakeposting
reaction,/memes/shadman,shadman
reaction,/memes/ashley-wagner-s-angry-face,ashley wagner s angry face
reaction,/memes/selena-gomez-crying,selena gomez crying
reaction,/memes/confused-black-girl,confused black girl
reaction,/memes/miguel-herreras-goal-reaction,miguel herreras goal reaction
reaction,/memes/yee,yee
reaction,/memes/bruh,bruh
reaction,/memes/200-mad,200 mad
reaction,/memes/matthew-mcconaughey-reaction-videos,matthew mcconaughey reaction videos
reaction,/memes/spongegar-primitive-sponge-caveman-spongebob,spongegar primitive sponge caveman spongebob
reaction,/memes/confused-nick-young,confused nick young
reaction,/memes/trying-to-hold-a-fart-next-to-a-cute-girl-in-class,trying to hold a fart next to a cute girl in class
reaction,/memes/absolutely-haram,absolutely haram
reaction,/memes/they-had-us-in-the-first-half,they had us in the first half
reaction,/memes/brent-rambo,brent rambo
reaction,/memes/events/2014-miss-america-twitter-backlash,events/2014 miss america twitter backlash
reaction,/memes/antonio-banderas-laptop-reaction,antonio banderas laptop reaction
reaction,/memes/side-eyeing-chloe,side eyeing chloe
reaction,/memes/heard-you-were-talking-shit,heard you were talking shit
reaction,/memes/nutted-but-she-still-sucking,nutted but she still sucking
reaction,/memes/vince-mcmahon-reaction,vince mcmahon reaction
reaction,/memes/trying-to-get-my-grades-up,trying to get my grades up
reaction,/memes/javert-reaction-gifs,javert reaction gifs
reaction,/memes/sensible-chuckle,sensible chuckle
reaction,/memes/look-at-me-im-the-captain-now,look at me im the captain now
reaction,/memes/persian-cat-room-guardian,persian cat room guardian
reaction,/memes/what-should-we-call-me,what should we call me
reaction,/memes/u-wot-m8,u wot m8
reaction,/memes/you-tried,you tried
reaction,/memes/annoyed-picard,annoyed picard
